checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-10-11,2026-10-13,2,1,1,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,125.45,no: city tax € 14 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:44.276Z
2026-10-11,2026-10-13,2,1,2,Affittacamere Tiburstation,guesthouse,3T,7.8,179,0.9,Camera Singola,135.08,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tibur-station.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:44.276Z
2026-10-11,2026-10-13,2,1,3,Gmm,guesthouse,3T,7.9,207,1.3,Camera Singola Ampia,136.36,no: city tax € 14 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/gmm.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:50.795Z
2026-10-11,2026-10-13,2,1,4,Days In Rome,guesthouse,4T,8.3,334,1.2,Camera Doppia con Letti Singoli con Bagno Privato ,138.18,no: city tax € 12 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/days-in-rome.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:50.795Z
2026-10-11,2026-10-13,2,1,5,Domus Remo Room #3,guesthouse,4T,9,29,0.45,Camera Matrimoniale con Bagno Privato,140.91,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room-3.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:44.276Z
2026-10-11,2026-10-13,2,1,6,Il Magnificus Boutique,guesthouse,4T,9.2,476,0.35,Camera King Deluxe ,142.27,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/il-magnificus-boutique.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:44.276Z
2026-10-11,2026-10-13,2,1,7,Romulea Guest House,guesthouse,,6.2,675,0.4,Camera Matrimoniale con Bagno in Comune ,149.37,no: city tax € 10 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/romulea-guest-house.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:44.276Z
2026-10-11,2026-10-13,2,1,8,"Tiburtina Suites, Roma",guesthouse,3T,7.6,93,0.6,Camera Matrimoniale con Balcone,154.73,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tiburtina-suites.it.html?checkin=2026-10-11&checkout=2026-10-13&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:44.276Z
2026-10-12,2026-10-14,2,1,1,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,125.45,no: city tax € 14 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-12,2026-10-14,2,1,2,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,127.37,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-12,2026-10-14,2,1,3,Affittacamere Tiburstation,guesthouse,3T,7.8,179,0.9,Camera Singola,135.08,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tibur-station.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-12,2026-10-14,2,1,4,Gmm,guesthouse,3T,7.9,207,1.3,Camera Singola Ampia,136.36,no: city tax € 14 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/gmm.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:18.080Z
2026-10-12,2026-10-14,2,1,5,B&B SPQR,B&B,2T,6,545,0.35,Camera Matrimoniale con Bagno Privato,138.18,no: city tax € 12 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/spqr.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-12,2026-10-14,2,1,6,Domus Remo Room #3,guesthouse,4T,9,29,0.45,Camera Matrimoniale con Bagno Privato,140.91,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room-3.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-12,2026-10-14,2,1,7,Romulea Guest House,guesthouse,,6.2,675,0.4,Camera Matrimoniale con Bagno in Comune ,149.37,no: city tax € 10 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/romulea-guest-house.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-12,2026-10-14,2,1,8,"Tiburtina Suites, Roma",guesthouse,3T,7.6,93,0.6,Camera Matrimoniale con Balcone,150.55,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tiburtina-suites.it.html?checkin=2026-10-12&checkout=2026-10-14&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:11.930Z
2026-10-13,2026-10-15,2,1,1,TIBURTINA INN GUEST HOUSE,guesthouse,3T,7.5,662,0.4,Camera Singola Economy,114.55,no: city tax € 14 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/tiburtina-inn-guest-house.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,2,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,125.45,no: city tax € 14 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,3,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,127.37,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,4,Affittacamere Tiburstation,guesthouse,3T,7.8,179,0.9,Camera Singola,135.08,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tibur-station.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,5,B&B SPQR,B&B,2T,6,545,0.35,Camera Matrimoniale con Bagno Privato,138.18,no: city tax € 12 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/spqr.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,6,Domus Remo Room #3,guesthouse,4T,9,29,0.45,Camera Matrimoniale con Bagno Privato,140.91,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room-3.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,7,Romulea Guest House,guesthouse,,6.2,675,0.4,Camera Matrimoniale con Bagno in Comune ,149.37,no: city tax € 10 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/romulea-guest-house.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
2026-10-13,2026-10-15,2,1,8,"Tiburtina Suites, Roma",guesthouse,3T,7.6,93,0.6,Camera Matrimoniale con Balcone,150.55,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tiburtina-suites.it.html?checkin=2026-10-13&checkout=2026-10-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:52:38.238Z
