checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-11-12,2026-11-14,2,2,5,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
2026-11-12,2026-11-14,2,2,6,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,124.09,no: city tax € 28 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
2026-11-12,2026-11-14,2,2,7,DOMUS REMO Room #1,guesthouse,4T,9.1,31,0.45,Camera Tripla con Bagno Privato,124.26,yes,no,no,https://www.booking.com/hotel/it/domus-remo-rooms.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
2026-11-12,2026-11-14,2,2,8,"Nènè House Roma-Cuore, appartamento in comune",guesthouse,4T,9.1,9,0.9,Camera Matrimoniale con Bagno Privato,131.54,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
2026-11-13,2026-11-15,2,2,1,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,112.51,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
2026-11-13,2026-11-15,2,2,2,Days In Rome,guesthouse,4T,8.3,334,1.2,Camera Matrimoniale con Balcone,120.79,no: city tax € 24 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/days-in-rome.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:27.750Z
2026-11-13,2026-11-15,2,2,3,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
2026-11-13,2026-11-15,2,2,4,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,124.09,no: city tax € 28 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
2026-11-13,2026-11-15,2,2,5,DOMUS REMO Room #1,guesthouse,4T,9.1,31,0.45,Camera Tripla con Bagno Privato,124.26,yes,no,no,https://www.booking.com/hotel/it/domus-remo-rooms.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
2026-11-13,2026-11-15,2,2,6,Quelli della via Gluck,B&B,,8.6,425,0.7,Camera Matrimoniale,127.40,no: city tax € 24 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/quelli-della-via-gluck.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
